Offense Validation CD,Offense Code,Offense Txn Type CD,Offense Statute,Offense Type of Statute CD,Statute Literal 25,Offense Default Type of Charge,Offense Type of Charge,Offense Literal Identifier CD,Offense Degree,BCS Hierarchy CD,Offense Enacted,Offense Repealed,ALPS Cognizant CD
1,31067,1,384C,PC,FALSE TRANSPORT STATEMENT,,M,FLS,,152300,19630920,,*
1,31068,1,384D,PC,MOVE SHRUB W/O PERMIT,,M,,,152600,19630920,,*
2,31103,1,384E,PC,FAIL TO SHOW SHRUB TAG,,M,,,152600,19630920,20201111,*
1,29006,1,384H,PC,KILL/HURT ANTHR ANML:HUNT,,M,,,152900,19630920,,*
1,55032,1,385(B),PC,TOOLS NEAR HIGH VOLT LINE,,M,,,153100,19470919,,*
1,55161,1,385(C),PC,USE/ETC EQUP:NO SIGN:VOLT,,M,,,153100,19470919,,*
1,55213,1,386(A),PC,INOP/ETC FIRE PROTECT SYS,,F,,,21100,19880101,,*
1,55303,1,386(B),PC,INOP FIRE PROTECT SYS GBI,,F,,,20000,19880101,,*
1,31180,1,387(A),PC,UNSAFE BUS PRAC:GBH/DEATH,,F,,,74315,19910101,,*
1,31311,1,387(A),PC,UNSAFE BUS PRAC GBH/DTH,*,M,,,90900,19910101,,*
1,26015,1,395,PC,MARKET PRICE FRAUD,,M,,,113000,18720101,,*
1,31177,1,396(B),PC,PRICE GOUG:GOODS/ETC:EMER,,M,,,100410,19950101,,*
1,31178,1,396(C),PC,PRICE GOUG:RPAIR/ETC:EMER,,M,,,100410,19950101,,*
1,31312,1,396(D),PC,PRICE GOUGE MTL RNT EMERG,,M,,,100410,19950101,,*
1,31307,1,396(E),PC,INCRS RENT 10+PERC EMRGNC,,M,,,100410,20190101,,*
1,31308,1,396(F),PC,EVICT TENANT DUR EMERGNCY,,M,,,100410,20190101,,*
1,26113,1,396.5,PC,UNLAWFUL USE FOOD STAMPS,,M,,,169500,19800101,,*
2,41013,1,397,PC,LIQUOR TO DRUNKARD,,M,,,139300,19530909,20201124,*
1,32060,1,398,MV,TRESPASS: OFF LIMIT AREA,,M,,,134400,19470919,,*
2,9029,1,399,PC,OWNERS ANIMAL CAUSE DEATH,,F,,,23400,18720101,20201111,*
2,9187,1,399(B),PC,OWNER/ETC:ANML CAUSE DTH,,F,,,68400,18720101,20201027,*
2,9188,1,399(B),PC,OWNER/ETC:ANML CAUSE DTH,*,M,,,98000,18720101,20201027,*
1,9175,1,399.5(A),PC,DOG FIGHT-TRAIND CAUS INJ,*,M,,,98000,19850101,,*
1,9185,1,399.5(A),PC,DOG TRAINED:FIGHT/ETC:INJ,,F,,,21450,20000101,,*
2,55034,1,401,PC,AIDING SUICIDE,,F,,,25100,19050101,20201113,*
2,55162,1,402(A),PC,STOP/ETC:EMERGENCY SCENE,,M,EMR,,144200,19900101,20161231,*
1,55287,1,402(A)(1),PC,STOP/ETC:EMERGENCY SCENE,,M,,,144200,20170101,,*
1,55288,1,402(A)(2),PC,INTRF EMERG W/DRONE/ETC,,M,,,144200,20170101,,*
1,55163,1,402(B),PC,INTRF/ETC W/LIFGARD:EMERG,,M,INT,,144200,19900101,,*
1,55036,1,402A,PC,ADULTERATION OF CANDY,,M,AOC,,102900,19050101,,*
1,55037,1,402B,PC,DISCARD APPLIANCE W/LOCK,,M,DAP,,153300,19510922,,*
1,55038,1,402C,PC,SELL NEW REFRIG W/O LOCK,,M,,,153400,19681113,,*
1,53015,1,403,PC,DISTURB/ETC ASSEMBLY/ETC,,M,,,127500,18720101,,*
1,53101,1,404(A),PC,RIOTING,,M,,,95300,19790101,,*
2,53115,1,404.6(A),PC,CAUSE RIOT:DESTROY PROP,,M,,,95300,19930101,20201108,*
1,53136,1,404.6(C),PC,RIOT IN JAIL/PRISON/ETC,*,M,,,95300,19990101,,*
1,53137,1,404.6(C),PC,RIOT IN PRISON/JAIL/ETC,,F,,,36300,19990101,,*
1,53018,1,405,PC,RIOTS,,M,,,95300,18720101,,*
2,53019,1,405A,PC,LYNCHING,,F,,,15500,19330821,20151231,*
1,53145,1,405A,PC,RIOT TAKE FROM PEACE OFF,,F,,,15500,20160101,,*
2,53020,1,405B,PC,LYNCHING,,F,,,15500,19330821,20151231,*
1,53021,1,406,PC,ROUTING,,M,,,127600,18720101,,*
1,53022,1,407,PC,UNLAWFUL ASSEMBLY,,M,,,127800,18720101,,*
1,53023,1,408,PC,ROUT/UNLAWFUL ASSEMBLY,,M,,,127700,18720101,,*
1,53024,1,409,PC,REMAIN AT SCENE:RIOT/ETC,,M,,,127900,18720101,,*
1,31301,1,409(H),MV,SEIZE PER PROP TERM LEASE,,M,,,91700,20190101,,*
1,53025,1,409.5(C),PC,ENTER DISASTER AREA,,M,,,134500,19691110,,*
1,53150,1,409.6(C),PC,UNAUTH ENTRY EVAC AVALNCH,,M,,,127900,19840101,,*
1,53026,1,410,PC,NEGLECT/REFUSE TO DISPERS,,M,,,153500,18720101,,*
1,53027,1,412,PC,ILLEGAL PRIZE FIGHTING,,M,,,83500,19140101,,*
1,53028,1,413,PC,PRESENT AT ILLEGAL FIGHT,,M,,,153600,19140101,,*
1,53030,1,414,PC,LEAVE STATE TO PRIZEFIGHT,,M,,,153800,18720101,,*
1,53072,1,415(1),PC,FIGHT IN PUBLIC PLACE,,M,,,169700,19770101,,*
2,53131,1,415(1),PC,FIGHT/ETC IN PUBLIC PLACE,N,I,,,169700,19770101,,*
1,53073,1,415(2),PC,UNREASONABLE NOISE,,M,,,169700,19770101,,*
2,53130,1,415(2),PC,LOUD/UNREASONABLE NOISE,N,I,,,169700,19770101,,*
1,53074,1,415(3),PC,OFFENSIVE WORDS:PUBLIC PL,,M,,,169700,19770101,,*
2,53151,1,415(3),PC,OFFENSIVE WORDS IN PUB PL,,I,,,169800,19770101,,*
1,33028,1,415.5(A)(1),PC,FIGHT/ETC AT SCH/UNIV/ETC,,M,,,169900,19890101,,*
1,33029,1,415.5(A)(2),PC,LOUD/UNREAS NOISE UNV/ETC,,M,,,169900,19890101,,*
1,33030,1,415.5(A)(3),PC,OFFENSIVE WORDS UNIV/ETC,,M,,,169900,19890101,,*
1,53108,1,416(A),PC,REFUSE TO DISPERSE,,M,,,128100,19900101,,*
1,52136,1,417(A)(1),PC,EXHIBIT DEADWPN:NOT F/ARM,,M,,,83400,19820425,,*
2,52137,1,417(A)(2),PC,EXHIBIT FIREARM,,M,,,81800,19820425,20201113,*
1,52687,1,417(A)(2)(B),PC,EXHBT F/ARM THRTNG MANNER,,M,,,81800,19820425,,*
1,52199,1,417(B),PC,EXH LOADED F/ARM:DAY CARE,,F,FCD,,78000,19920101,,*
1,52326,1,417(B),PC,EXH LOADED F/ARM:DAY CARE,*,M,,,81800,19920101,,*
1,52200,1,417(C),PC,EXHIBIT FIREARM PRES PO,,F,,,41500,19920101,,*
1,52303,1,417(C),PC,EXHIB/ETC F/ARM:PO PRESNT,*,M,,,81550,19990101,,*
1,52267,1,417.25(A),PC,THREAT W/LASER SCOPE:FEAR,,M,,,171720,19930101,,*
1,48130,1,417.26(A),PC,AIM/ETC LASER POINTERS:PO,,M,,,102250,20000101,,*
1,48158,1,417.26(B),PC,AIM LASER PNTR PO W/PR,,M,,,98000,20000101,,*
2,31212,1,417.27(A),PC,SELL LASER POINTER TO JUV,,I,,,176550,20000101,,*
2,33054,1,417.27(B),PC,STDNT POSS LASR PNTR,,I,,,176550,20000101,20201124,*
2,53134,1,417.27(C),PC,AIM LSR PNTR:INT TO HAR,,I,,,176550,20000101,,*
2,53135,1,417.27(D),PC,AIM LSR PNTR:GUIDE DOG/ET,,I,,,176550,20000101,,*
1,52175,1,417.3,PC,EXH F/ARM PRES VEH OCCUPT,,F,,,41800,19880101,,*
1,52240,1,417.4,PC,BRANDISHING F/ARM REPLICA,,M,,,84000,19940101,,*
1,52171,1,417.6(A),PC,EXH F/ARM/DLY WPN W/SBI,,F,,,41600,19830101,,*
1,52148,1,417.8,PC,EXH F/ARM/ETC:RSIST AREST,,F,,,16400,19830101,,*
1,32006,1,418,PC,FORCIBLE ENTRY,,M,,,149700,18720101,,*
1,32007,1,419,PC,RETAKE LAND AFT LEGAL REM,,M,,,153900,18720101,,*
1,53033,1,420,PC,PREVENT PUBLIC LAND ENTRY,,M,,,154000,19050101,,*
2,51352,1,420.1,PC,PRVNT ENTRY OF PRVT LAND,,I,,,154000,19990101,,*
2,16001,1,422,PC,THRTN CRIME:INT:TERRORIZE,,F,TER,,40600,19880926,20110930,*
2,16018,1,422,PC,THREAT CRIME:INT:TERORIZE,*,M,,,90800,19880926,20110930,*
1,16048,1,422(A),PC,THRTN CRIME:INT:TERRORIZE,*,M,,,90800,20111001,,*
1,16049,1,422(A),PC,THRTN CRIME:INT:TERRORIZE,,F,,,40600,20111001,,*
1,16050,1,422.4(A),PC,PUBLSH INFO ACADEMC VIOL,,M,,,90800,20090101,,*
1,56022,1,422.6(A),PC,VIO CIVIL RGHTS:FRCE/THRT,,M,,,90800,19880101,,*
1,56021,1,422.6(B),PC,DAMAGE PROP:VIO CIVL RGHT,,M,,,95690,19880101,,*
1,56025,1,422.7(A),PC,CIV RGT VIOL:VIOLENT INJ,,F,,,41450,19880101,,*
1,29123,1,422.7(B),PC,VIOL CIV RGTS:PROP DAMAGE,,F,,,77650,19880101,,*
1,56031,1,423.2(A),PC,VIOLENCE/ETC:REP HLTH SVS,,M,,,90800,20020101,,*
1,56032,1,423.2(B),PC,FORCE ON PRSN:PLCE WRSHIP,,M,,,90800,20020101,,*
1,56033,1,423.2(C),PC,NONVIOL OBST:REP HLTH SVS,,M,,,103400,20020101,,*
1,56034,1,423.2(D),PC,NONVIOL OBST:PLCE WORSHIP,,M,,,103400,20020101,,*
1,56035,1,423.2(E),PC,DAMAGE PROP:REP HLTH SVS,,M,,,95690,20020101,,*
1,56036,1,423.2(F),PC,DAMAGE PROP:PLACE WORSHIP,,M,,,95690,20020101,,*
2,27058,1,424(A)1,PC,EMBEZZLEMENT BY PUB OFCR,,F,,,16800,18720101,20201102,*
2,27059,1,424(A)2,PC,EMBEZZLEMENT BY PUB OFCR,,F,,,16800,18720101,20201111,*
2,27060,1,424(A)3,PC,EMBEZZLEMENT BY PUB OFCR,,F,,,16800,18720101,20201111,*
2,27061,1,424(A)4,PC,EMBEZZLEMENT BY PUB OFCR,,F,,,16800,18720101,20201111,*
2,27062,1,424(A)5,PC,EMBEZZLEMENT BY PUB OFCR,,F,,,16800,18720101,20201111,*
2,27063,1,424(A)6,PC,EMBEZZLEMENT BY PUB OFCR,,F,,,16800,18720101,20201111,*
2,27064,1,424(A)7,PC,EMBEZZLEMENT BY PUB OFCR,,F,,,16800,18720101,20201111,*
1,27012,1,425,PC,FAIL TO PAY PUBLIC MONEY,,F,,,36400,18720101,,*
1,48019,1,428,PC,HINDER REVENUE COLLECTION,,M,,,154200,18720101,,*
1,48159,1,429,PC,TELE PRVDR FL COLLECT FEE,,M,,,122300,19910101,,*
1,48046,1,431,PC,FAIL DEL/ETC TAX RECT/ETC,,M,,,149000,18720101,,*
1,66072,1,432,PC,POSS BLNK LIC/POLL TX REC,,F,,,36500,18720101,,*
1,31325,1,432.6(A),LC,REQ APP TO WV RIGHT FEHA,,M,,,167700,20200101,,*
1,31005,1,436,PC,UNLAWFUL AUCTIONEER,,M,,,154400,18720101,,*
2,61004,1,439,PC,PROCURING INSURANCE,,M,,,154600,18720101,20201108,*
1,48096,1,440,PC,REFUSE RECORDS INSPECTION,,M,,,154300,18720101,,*
1,35424,1,443.17(A),HS,ALTER REQ/AID DYING DRUG,,F,,,23810,20160101,,*
1,35425,1,443.17(B),HS,COERCE IDV AID DYING DRUG,,F,,,23810,20160101,,*
2,20017,1,451,PC,MAL SET/ETC FIRE PROP/ETC,,F,,,37000,19800101,,*
1,20018,1,451(A),PC,ARSON CAUSING GBI,,F,,,3800,19800101,,*
1,20019,1,451(B),PC,ARSON:INHABITED STRUCTURE,,F,,,7200,19800101,,*
1,20020,1,451(C),PC,ARSON:FOREST LAND,,F,,,13200,19800101,,*
1,20036,1,451(D),PC,ARSON:PROPERTY,,F,,,36900,19800101,,*
2,20050,1,451(E),PC,ARSON:WHILE CONFINED,,F,,,34400,19800101,,*
2,20051,1,451(E),PC,ARSON:WHILE CONFINED,*,M,,,123200,19800101,,*
4,20061,1,451.1(A),PC,ARSON:SENTENCE ENHANCEMNT,,F,,,999999,19950101,,*
2,20055,1,451.5,PC,AGGRAVATED ARSON,,F,,,2490,19940907,,*
1,20052,1,451.5(A),PC,AGGRAVATED ARSON,,F,,,2490,19940907,,*
1,20041,1,451.5(A)(1),PC,AGGRAVATED ARSON W/PRIOR,,F,,,2490,19940907,,*
2,20053,1,451.5(A)(2)(A),PC,"AGG ARSON:+$5,000,000 PD",,F,,,2490,19940907,20091231,*
1,20059,1,451.5(A)(2)(A),PC,"AGG ARSON:+$6,500,000PD",,F,,,2490,20100101,,*
1,20054,1,451.5(A)(3),PC,AGG ARSON:5+ INHAB STRUCT,,F,,,2490,19940907,,*
2,20056,1,451.5(B),PC,AGGRAVATED ARSON:PUNISH,,F,,,2490,19940907,,*
2,20057,1,451.5(C),PC,AGG ARSON:PAROLE ELIGIBTY,,F,,,2490,19940907,,*
2,20022,1,452(A),PC,ARSON:CAUSE GBI,,F,,,13800,19800101,20201028,*
1,20063,1,452(A),PC,UNLAW CAUSE FIRE W/GBI,*,M,,,90700,19800101,,*
1,20023,1,452(B),PC,CAUSE FIRE OF INHAB STRUC,,F,,,22800,19800101,,*
1,20048,1,452(B),PC,CAUSE FIRE OF INHAB STRUC,*,M,,,100550,19800101,,*
1,20024,1,452(C),PC,CAUSE FIRE OF STRUC/FORES,,F,,,69100,19800101,,*
1,20043,1,452(C),PC,CAUSE FIRE:STRUCTR/FOREST,*,M,,,123100,19800101,,*
1,20033,1,452(D),PC,CAUSING FIRE OF PROPERTY,,M,,,123100,19800101,,*
2,20026,1,453(A),PC,POS/ETC ARSON MATERIL/DEV,,F,,,69000,19800101,20201028,*
2,20044,1,453(A),PC,ARSON:POS/ETC MAT/DEVICE,*,M,,,100550,19800101,20201028,*
4,20060,1,453(B),PC,POSSESS/MFG/DISP FIREBOMB,*,M,,,100550,19800101,,*
1,20038,1,454(A)(1),PC,ARSON:STATE OF INSURRECTN,,F,,,8500,19920831,,*
1,20039,1,454(A)(2),PC,ARSON:STATE EMERGENCY,,F,,,8500,19920831,,*
2,20028,1,455,PC,AID IN ARSON,,F,,,34300,19800101,20201111,*
2,89096,1,457.1,PC,REG OF ARSON OFFENDER,,X,,,,18000101,,*
1,20047,1,457.1(H),PC,FAIL REG:ARSON OFFENDER,,M,,,82100,20000101,,*
1,22004,1,459,PC,BURGLARY,,F,,0,12900,18720101,,*
1,22021,1,459,PC,BURGLARY:FIRST DEGREE,,F,,1,12900,19230101,,*
1,22022,1,459,PC,BURGLARY:SECOND DEGREE,,F,,2,42700,19230101,,*
1,22133,1,459,PC,BURGLARY:SECOND DEGREE,,M,SEC,,91550,19230101,,*
2,23211,1,459.5,PC,SHOPLIFTING,*,M,,,104350,20141102,20201111,*
2,23212,1,459.5,PC,SHOPLIFTING,,F,,,42700,20141105,20201111,*
1,22124,1,460(A),PC,BURGLARY:FIRST DEGREE,,F,,,12900,19920101,,*
1,22125,1,460(B),PC,BURGLARY:SECOND DEGREE,,F,,,42700,19920101,,*
1,22131,1,460(B),PC,BURGLARY:SECOND DEGREE,*,M,,,91550,19920101,,*
1,22009,1,461.1,PC,BURGLARY:FIRST DEGREE,,F,,,12900,19230101,,*
1,22010,1,461.2,PC,BURGLARY:SECOND DEGREE,,F,,,42700,19230101,,*
2,22123,1,463(A),PC,BURG/ETC:STATE EMERG/ETC,,F,,,42700,19910101,20201028,*
1,22134,1,463(A),PC,LOOTING DURING ST EMERG,*,M,,,91600,19910101,,*
1,22135,1,463(B),PC,LOOT/GRAND THEFT ST EMERG,*,M,,,91600,19910101,,*
2,23124,1,463(B),PC,GRAND THEFT:STATE EMERG,,F,,,46490,19910101,20201101,*
2,23125,1,463(C),PC,PETTY THEFT:STATE EMERG,,M,,,104390,19910101,20201101,*
2,22011,1,464,PC,BURGLARY W/EXPLOSIVES,,F,,,7700,19250101,20201028,*
1,22012,1,466,PC,POSSESS BURGLARY TOOLS,,M,,,103700,18720101,,*
1,22027,1,466.1,PC,SELL LOCK PICK/ETC,,M,,,103800,19850101,,*
2,22025,1,466.3(A),PC,POSSESS TAMPER DEVICE,,M,,,91600,19730307,20201028,*
2,22014,1,466.5(A),PC,POSS/USE VEH MASTER KEY,,M,,,104100,19681113,20201028,*
2,22015,1,466.5(B),PC,POSSESS VEH MASTER KEY,,M,,,104100,19681113,20201028,*
1,22016,1,466.5(C),PC,MFG/SELL VEH MASTER KEY,,M,,,104100,19681113,,*
1,22128,1,466.6(A),PC,MAKE VEH/ETC KEY W/O ORDR,,M,KEY,,103900,19930101,,*
1,22136,1,466.65(A),PC,POSS MOTORCYCL IGNITN DVC,,M,,,104000,20110101,,*
1,22137,1,466.65(B),PC,POSS HRDWR MOTORCYCL THFT,,M,,,104000,20110101,,*
1,22127,1,466.7,PC,ILLEGAL POSS OF VEH KEY,,M,,,104000,19780101,,*
2,22129,1,466.8(A),PC,MAKE RES/ETC KEY W/O ORDR,,M,,,104000,19930101,20201028,*
1,23152,1,466.9(A),PC,POSS CODE GRAB DEV:CRIME,,M,,,103905,19960101,,*
1,23153,1,466.9(B),PC,USE CODE DEV:VEH ALR:CRIM,,M,,,103905,19960101,,*
1,52006,1,468,PC,BUY/SELL SNIPERSCOPE,,M,,,100500,19580723,,*
2,22024,1,469,PC,ILLEGAL POSS BUILDING KEY,,M,,,104300,19700914,20201028,*
4,25006,1,470,PC,FORGERY,,F,FOR,,42800,19900101,,*
4,25083,1,470,PC,FORGERY,*,M,,,93600,19050101,,*
1,25064,1,470(A),PC,FORGERY,,F,FOR,,42800,19090101,,*
2,25076,1,470(A),PC,FORGERY:INTENT:DEFRAUD,*,M,FGY,,93600,19090101,20201101,*
1,25093,1,470(B),PC,FORGE/ETC HANDWRITING/ETC,,F,FRG,,42800,19990101,,*
1,25115,1,470(B),PC,FORGE/ETC HANDWRITING/ETC,*,M,,,93600,20141105,,*
1,25092,1,470(C),PC,ALTER/ETC WILL/ETC,,F,,,42800,19990101,,*
1,25122,1,470(C),PC,ALTER/ETC WILL/ETC,*,M,,,93400,19990101,,*
1,25086,1,470(D),PC,FALSE CHECK/RECS/CERT/ETC,,F,,,42800,19990101,,*
1,25087,1,470(D),PC,FALSE CHECKS/REC/CERT/ETC,*,M,,,93600,19990101,,*
1,25031,1,470A,PC,ALT/FORGE/ETC DRIV LIC/ID,,F,FDL,,43100,19720304,,*
1,25097,1,470A,PC,ALT/FORGE/ETC DRIV LIC/ID,*,M,,,93600,19720304,,*
1,25032,1,470B,PC,POSS DL/ID TO CMMT FORGRY,,F,FID,,43300,19720304,,*
1,25123,1,470B,PC,POSS DL/ID COMMIT FORGERY,*,M,FDI,,93600,19720304,,*
1,25007,1,471,PC,MAKE FALSE ENT IN RECORDS,,F,,,43400,18720101,,*
1,25124,1,471,PC,MAKE FLS ENTRIES IN RCRDS,*,M,,,93600,18720101,,*
1,26119,1,471.5,PC,ALTER MEDICAL RECORDS,,M,,,110300,19750101,,*
1,25008,1,472,PC,FORGE OFFICIAL SEAL,,F,,,43200,18720101,,*
1,25096,1,472,PC,FORGE/ETC OFFICIAL SEAL,*,M,,,93600,18720101,,*
1,25116,1,473(B),PC,FORGERY:CHECK ETC -$950,,M,,,93600,20141105,,*
1,25010,1,474,PC,SEND FORGD TELE MSG:FRAUD,,F,,,52300,19050101,,*
1,25125,1,474,PC,SEND FORGED TELE MSG DFRD,*,M,,,92700,19050101,,*
1,25090,1,475(A),PC,POS/ETC BAD/ETC CHEKS/ETC,,F,BAD,,51100,19990101,,*
1,25091,1,475(A),PC,POS/ETC BAD/ETC CHECK/ETC,*,M,BAD,,93600,19990101,,*
1,25084,1,475(B),PC,POS BLANK CHEC/ETC:DEFRAD,,F,,,42900,19990101,,*
1,25085,1,475(B),PC,POS BLANK CHECK/ETC:FRAUD,*,M,,,93600,19990101,,*
1,25088,1,475(C),PC,PAS COMPLET CHECK/ETC:DEF,,F,,,42800,19990101,,*
1,25089,1,475(C),PC,PASS COMPLETED CHECK/ETC,*,M,,,93600,19990101,,*
2,25013,1,476,PC,MAKE FICTITIOUS CHECK,,F,,,43800,18720101,20201124,*
1,25082,1,476,PC,MAKE/ETC FICT CHECK/ETC,*,M,,,93600,19330821,,*
2,26016,1,476A(A),PC,INSUFICENT FUND:CHECK/ETC,,F,,,44000,19560703,20201101,*
2,26507,1,476A(A),PC,INSUFICNT FUND:CHECK/ETC,*,M,,,93600,19560703,20201102,*
1,26017,1,476A(B),PC,NONSUFFICIENT FUNDS:CHECK,*,M,,,93600,19560703,,*
1,26107,1,476A(B),PC,NONSUFFICIENT FUNDS:CHECK,,F,,,44000,19560703,,*
1,25014,1,477,PC,COUNTERFEITING,,F,,,16500,18720101,,*
1,25015,1,478,PC,COUNTERFEITING,,F,,,16500,18720101,,*
1,25016,1,479,PC,POSS/RECEIVE CNTRFT COIN,,F,,,16600,18720101,,*
2,25095,1,480(A),PC,MAKE/ETC COUNTRFT PLT/ETC,,F,,,16700,20000101,20201101,*
1,25018,1,481,PC,FORGE RR/STEAMSHIP TICKET,,F,,,52500,19050101,,*
1,25127,1,481,PC,FORGE RR/STEAMSHIP TICKET,*,M,,,100400,19350915,,*
1,25061,1,481.1(A),PC,COUNTERFT FARE MEDIA TRAN,,F,,,55300,19880101,,*
1,25126,1,481.1(A),PC,CNTRFEIT FARE/MEDIA TRNSP,*,M,,,100400,19880101,,*
1,25060,1,481.1(B),PC,POSS/CNTRFT PUB TRAN FARE,,M,,,100400,19880101,,*
2,25019,1,482,PC,RESTORE RR/ETC TICKET,,M,,,107800,19050101,20201101,*
2,26018,1,483,PC,UNAUTHORIZED TICKET SALE,,M,,,155000,19170101,20201101,*
2,26378,1,483.5(A),PC,MFG/ETC FALSE ID DOCUMENT,,F,,,45820,19960101,20201111,*
2,26601,1,483.5(A),PC,MFG/ETC FALSE IDENT DOC,*,M,,,92400,19960101,20201111,*
1,26602,1,483.5(B),PC,POSSESS DOC-MAKING DEVICE,,M,,,92400,19960101,,*
4,23008,1,484,PC,THEFT,*,M,TFT,,104400,18000101,,*
4,23076,1,484,PC,THEFT,,F,TFT,,46200,18000101,,*
2,23009,1,484(A),PC,THEFT PERSONAL PROPERTY,,F,TPP,,46200,19671108,20201028,*
1,23079,1,484(A),PC,THEFT OF PERSONAL PROP,,M,PSN,,104400,19671108,,*
1,23087,1,484(A),PC,PETTY THEFT,,M,PTT,,104400,19671108,,*
1,23091,1,484(A),PC,GRAND THEFT,,F,GTH,,46200,19671108,,*
4,23098,1,484(A),PC,THEFT,,F,TFT,,46200,19671108,,*
4,23099,1,484(A),PC,THEFT,*,M,THE,,104400,19671108,,*
2,23160,1,484(A),PC,PETTY THEFT:$50-,N,I,,,104400,19920101,,*
4,23085,1,484(A)/488,PC,THFT PRSNL PROP/PTY THFT,,M,TPP,,104400,19671108,,*
4,23092,1,484(A)/666,PC,THFT/PTY THFT W/PRIOR,,F,,,51600,19671108,,*
4,23161,1,484(A)/666,PC,PETTY THEFT/THEFT W/PRIOR,*,M,,,104400,19671108,,*
2,23010,1,484(B),PC,THEFT:RENTAL PROP,*,M,NRP,,104400,19671108,20001231,*
2,23074,1,484(B),PC,THEFT:RENTAL PROP $400+,,F,NRP,,46200,19671108,20001231,*
1,23218,1,484(B)(1),PC,THEFT:RENTAL PROPERTY,*,M,,,104400,20010101,,*
1,23219,1,484(B)(1),PC,THEFT:RENTAL PROPERTY,,F,,,46200,20010101,,*
2,23138,1,484.1(A),PC,FALS INF/ETC:PAWNBRKR/ETC,*,M,,,104400,19890101,20201101,*
2,23139,1,484.1(A),PC,FALS INF/ETC:PAWNBRKR/ETC,,F,,,46200,19890101,20201101,*
2,26019,1,484B,PC,DIVERSION OF FUNDS,*,M,DOF,,91800,19650917,20201101,*
2,26064,1,484B,PC,DIVERT FUNDS $1000+,,F,DOF,,51200,19650917,20201101,*
1,27013,1,484C,PC,OBTAIN MONEY BY FLS VOUCH,,F,,,44400,19650917,,*
1,27066,1,484C,PC,OBT MONEY BY FLS VOUCHER,*,M,,,107200,19650917,,*
2,30058,1,484E(A),PC,ACQ ACC CARD:INT:SELL/ETC,*,M,,,116100,19950101,20201103,*
2,30067,1,484E(A),PC,SELL/ETC LOST/ETC ACC CRD,,F,,,49800,19990101,20201103,*
2,30068,1,484E(B),PC,GRAND THEFT ACC CARDS 4+,,F,,,43600,19990101,20201103,*
1,30076,1,484E(B),PC,ACQ ACCES CRD INT SELL 4+,*,M,,,115800,19990101,,*
1,30066,1,484E(C),PC,SEL/ETC ACCESS CARD:FRAUD,*,M,,,116100,19950101,,*
1,30069,1,484E(D),PC,USE ACC ACOUNT INFO NO OK,,F,WOC,,46200,19990101,,*
1,30070,1,484E(D),PC,USE ACC ACOUNT DATA:NO OK,*,M,,,91850,19990101,,*
1,30062,1,484F(A),PC,FORGE ACCESS CARD:DEFRAUD,,F,,,43600,19950101,,*
1,30075,1,484F(A),PC,FORGE ACCESS CARD:DEFRAUD,*,M,,,91850,19950101,,*
1,30063,1,484F(B),PC,FORGE NAME:ACC CARD/ETC,,F,,,43600,19950101,,*
1,30074,1,484F(B),PC,FORGE NAME:ACC CARD/ETC,*,M,,,91850,19950101,,*
1,30043,1,484G,PC,THFT:USE ACCESS CRD DATA,,F,,,50000,19870101,,*
1,30044,1,484G,PC,THFT:USE ACCESS CARD DATA,*,M,,,115800,19870101,,*
1,30045,1,484G(A),PC,THEFT:FORGED ACCESS CARD,,F,,,50000,19870101,,*
1,30046,1,484G(A),PC,THEFT:FORGED ACCESS CARD,*,M,,,115800,19870101,,*
2,30047,1,484G(B),PC,THEFT:CRDT CRD HLDR $400+,,F,,,50000,19870101,20201102,*
1,30048,1,484G(B),PC,THEFT:MISREP AS CARD HLDR,*,M,,,115800,19870101,,*
2,30051,1,484H(A),PC,MRCH ACPT BAD A/CRD $400+,,F,,,50100,19870101,20201102,*
2,30052,1,484H(A),PC,MRCH ACPT BAD A/CRD -$400,*,M,,,115600,19870101,20201103,*
2,23192,1,484H(B),PC,FAIL FURNISH GOODS/SRV,,F,,,50100,19870101,20201101,*
2,23193,1,484H(B),PC,FAIL FURNISH GOODS/SRV,*,M,,,115600,19870101,20201101,*
2,30055,1,484I(A),PC,UNLAWFUL ACCESS CARD POSS,,M,,,115900,19870101,20201103,*
2,30071,1,484I(B),PC,ALT/ETC ACC ACCOUNT DATA,,F,AAI,,46200,19990101,20201103,*
1,30077,1,484I(B),PC,ALTER/ETC CARD ACCNT INFO,*,M,,,115900,19990101,,*
1,30072,1,484I(C),PC,MAKE/ETC EQUIP:FAKE CARDS,,F,,,46200,19990101,,*
1,30073,1,484I(C),PC,MAKE/ETC EQUIP:FAKE CARD,*,M,,,91850,19990101,,*
1,26195,1,484J,PC,PUBLIC ACCESS CARD NBR,,M,,,115300,19870101,,*
1,23012,1,485,PC,APPROPR LOST PROP,,F,,,47800,18720101,,*
1,23106,1,485,PC,APPROPR LOST PROP,*,M,,,105000,18720101,,*
4,23013,1,487,PC,GRAND THEFT,,F,,,46600,18720101,,*
1,23132,1,487(A),PC,GRDTHFT:MONEY/LABOR/PROP,,F,,,46200,19931011,,*
1,23157,1,487(A),PC,GRDTHFT:MONEY/LABOR/PROP,*,M,,,91700,19931011,,*
1,23135,1,487(B)(1)(A),PC,GRND THEFT:FOWL/FRUIT/ETC,,F,,,46200,19931011,,*
